"Date","6Mo","5Yr","10Yr","GDP","UNRATE","CPIAUCNS","SP500_Close","Fedrate"
2021-07-28,0.05,0.72,1.26,23921.991,5.4,273.003,4400.64013671875,0.1
2021-07-29,0.05,0.73,1.28,23921.991,5.4,273.003,4419.14990234375,0.1
2021-07-30,0.05,0.69,1.24,23921.991,5.4,273.003,4395.259765625,0.07
2021-08-02,0.06,0.66,1.2,23921.991,5.1,273.567,4387.16015625,0.1
2021-08-03,0.06,0.65,1.19,23921.991,5.1,273.567,4423.14990234375,0.1
2021-08-04,0.05,0.67,1.19,23921.991,5.1,273.567,4402.66015625,0.1
2021-08-05,0.06,0.72,1.23,23921.991,5.1,273.567,4429.10009765625,0.1
2021-08-06,0.06,0.77,1.31,23921.991,5.1,273.567,4436.52001953125,0.1
2021-08-09,0.06,0.79,1.33,23921.991,5.1,273.567,4432.35009765625,0.1
2021-08-10,0.05,0.82,1.36,23921.991,5.1,273.567,4436.75,0.1
2021-08-11,0.06,0.81,1.35,23921.991,5.1,273.567,4442.41015625,0.1
2021-08-12,0.06,0.83,1.36,23921.991,5.1,273.567,4460.830078125,0.1
2021-08-13,0.05,0.79,1.29,23921.991,5.1,273.567,4468,0.1
2021-08-16,0.05,0.75,1.26,23921.991,5.1,273.567,4479.7099609375,0.1
2021-08-17,0.06,0.77,1.26,23921.991,5.1,273.567,4448.080078125,0.1
2021-08-18,0.05,0.79,1.27,23921.991,5.1,273.567,4400.27001953125,0.09
2021-08-19,0.05,0.78,1.24,23921.991,5.1,273.567,4405.7998046875,0.09
2021-08-20,0.05,0.8,1.26,23921.991,5.1,273.567,4441.669921875,0.09
2021-08-23,0.06,0.78,1.25,23921.991,5.1,273.567,4479.52978515625,0.09
2021-08-24,0.05,0.8,1.29,23921.991,5.1,273.567,4486.22998046875,0.09
2021-08-25,0.06,0.84,1.35,23921.991,5.1,273.567,4496.18994140625,0.09
2021-08-26,0.06,0.84,1.34,23921.991,5.1,273.567,4470,0.09
2021-08-27,0.05,0.79,1.31,23921.991,5.1,273.567,4509.3701171875,0.08
2021-08-30,0.05,0.77,1.29,23921.991,5.1,273.567,4528.7900390625,0.08
2021-08-31,0.06,0.77,1.3,23921.991,5.1,273.567,4522.68017578125,0.06
2021-09-01,0.06,0.78,1.31,23921.991,4.7,274.31,4524.08984375,0.08
2021-09-02,0.06,0.78,1.29,23921.991,4.7,274.31,4536.9501953125,0.08
2021-09-03,0.05,0.78,1.33,23921.991,4.7,274.31,4535.43017578125,0.08
2021-09-07,0.06,0.82,1.38,23921.991,4.7,274.31,4520.02978515625,0.08
2021-09-08,0.06,0.81,1.35,23921.991,4.7,274.31,4514.06982421875,0.08
2021-09-09,0.05,0.79,1.3,23921.991,4.7,274.31,4493.27978515625,0.08
2021-09-10,0.06,0.82,1.35,23921.991,4.7,274.31,4458.580078125,0.08
2021-09-13,0.06,0.81,1.33,23921.991,4.7,274.31,4468.72998046875,0.08
2021-09-14,0.05,0.79,1.28,23921.991,4.7,274.31,4443.0498046875,0.08
2021-09-15,0.05,0.81,1.31,23921.991,4.7,274.31,4480.7001953125,0.08
2021-09-16,0.05,0.84,1.34,23921.991,4.7,274.31,4473.75,0.08
2021-09-17,0.05,0.88,1.37,23921.991,4.7,274.31,4432.990234375,0.08
2021-09-20,0.05,0.83,1.31,23921.991,4.7,274.31,4357.72998046875,0.08
2021-09-21,0.04,0.84,1.33,23921.991,4.7,274.31,4354.18994140625,0.08
2021-09-22,0.05,0.86,1.32,23921.991,4.7,274.31,4395.64013671875,0.08
2021-09-23,0.04,0.94,1.41,23921.991,4.7,274.31,4448.97998046875,0.08
2021-09-24,0.05,0.97,1.47,23921.991,4.7,274.31,4455.47998046875,0.08
2021-09-27,0.05,0.98,1.48,23921.991,4.7,274.31,4443.10986328125,0.08
2021-09-28,0.06,1.02,1.54,23921.991,4.7,274.31,4352.6298828125,0.08
2021-09-29,0.05,1.01,1.55,23921.991,4.7,274.31,4359.4599609375,0.08
2021-09-30,0.05,0.98,1.52,23921.991,4.7,274.31,4307.5400390625,0.06
2021-10-01,0.05,0.93,1.48,24777.038,4.5,276.589,4357.0400390625,0.08
2021-10-04,0.06,0.95,1.49,24777.038,4.5,276.589,4300.4599609375,0.08
2021-10-05,0.06,0.98,1.54,24777.038,4.5,276.589,4345.72021484375,0.08
2021-10-06,0.06,0.99,1.53,24777.038,4.5,276.589,4363.5498046875,0.08
2021-10-07,0.06,1.02,1.58,24777.038,4.5,276.589,4399.759765625,0.08
2021-10-08,0.07,1.05,1.61,24777.038,4.5,276.589,4391.33984375,0.08
2021-10-12,0.06,1.08,1.59,24777.038,4.5,276.589,4350.64990234375,0.08
2021-10-13,0.06,1.09,1.56,24777.038,4.5,276.589,4363.7998046875,0.08
2021-10-14,0.06,1.05,1.52,24777.038,4.5,276.589,4438.259765625,0.08
2021-10-15,0.06,1.13,1.59,24777.038,4.5,276.589,4471.3701171875,0.08
2021-10-18,0.06,1.16,1.59,24777.038,4.5,276.589,4486.4599609375,0.08
2021-10-19,0.06,1.17,1.65,24777.038,4.5,276.589,4519.6298828125,0.08
2021-10-20,0.06,1.16,1.65,24777.038,4.5,276.589,4536.18994140625,0.08
2021-10-21,0.06,1.23,1.68,24777.038,4.5,276.589,4549.77978515625,0.08
2021-10-22,0.07,1.22,1.66,24777.038,4.5,276.589,4544.89990234375,0.08
2021-10-25,0.06,1.19,1.64,24777.038,4.5,276.589,4566.47998046875,0.08
2021-10-26,0.06,1.2,1.63,24777.038,4.5,276.589,4574.7900390625,0.08
2021-10-27,0.07,1.16,1.54,24777.038,4.5,276.589,4551.68017578125,0.08
2021-10-28,0.06,1.18,1.57,24777.038,4.5,276.589,4596.419921875,0.08
2021-10-29,0.07,1.18,1.55,24777.038,4.5,276.589,4605.3798828125,0.07
2021-11-01,0.06,1.2,1.58,24777.038,4.1,277.948,4613.669921875,0.08
2021-11-02,0.07,1.15,1.56,24777.038,4.1,277.948,4630.64990234375,0.08
2021-11-03,0.07,1.19,1.6,24777.038,4.1,277.948,4660.56982421875,0.08
2021-11-04,0.07,1.1,1.53,24777.038,4.1,277.948,4680.06005859375,0.08
2021-11-05,0.07,1.04,1.45,24777.038,4.1,277.948,4697.52978515625,0.08
2021-11-08,0.07,1.13,1.51,24777.038,4.1,277.948,4701.7001953125,0.08
2021-11-09,0.06,1.08,1.46,24777.038,4.1,277.948,4685.25,0.08
2021-11-10,0.07,1.23,1.56,24777.038,4.1,277.948,4646.7099609375,0.08
2021-11-12,0.07,1.24,1.58,24777.038,4.1,277.948,4682.85009765625,0.08
2021-11-15,0.06,1.26,1.63,24777.038,4.1,277.948,4682.7998046875,0.08
2021-11-16,0.07,1.27,1.63,24777.038,4.1,277.948,4700.89990234375,0.08
2021-11-17,0.06,1.24,1.6,24777.038,4.1,277.948,4688.669921875,0.08
2021-11-18,0.06,1.22,1.59,24777.038,4.1,277.948,4704.5400390625,0.08
2021-11-19,0.06,1.22,1.54,24777.038,4.1,277.948,4697.9599609375,0.08
2021-11-22,0.07,1.33,1.63,24777.038,4.1,277.948,4682.93994140625,0.08
2021-11-23,0.07,1.33,1.67,24777.038,4.1,277.948,4690.7001953125,0.08
2021-11-24,0.1,1.34,1.64,24777.038,4.1,277.948,4701.4599609375,0.08
2021-11-26,0.1,1.16,1.48,24777.038,4.1,277.948,4594.6201171875,0.08
2021-11-29,0.1,1.18,1.52,24777.038,4.1,277.948,4655.27001953125,0.08
2021-11-30,0.1,1.14,1.43,24777.038,4.1,277.948,4567,0.07
2021-12-01,0.1,1.15,1.43,24777.038,3.9,278.802,4513.0400390625,0.08
2021-12-02,0.09,1.21,1.44,24777.038,3.9,278.802,4577.10009765625,0.08
2021-12-03,0.09,1.13,1.35,24777.038,3.9,278.802,4538.43017578125,0.08
2021-12-06,0.12,1.21,1.43,24777.038,3.9,278.802,4591.669921875,0.08
2021-12-07,0.15,1.26,1.48,24777.038,3.9,278.802,4686.75,0.08
2021-12-08,0.13,1.27,1.52,24777.038,3.9,278.802,4701.2099609375,0.08
2021-12-09,0.12,1.26,1.49,24777.038,3.9,278.802,4667.4501953125,0.08
2021-12-10,0.13,1.25,1.48,24777.038,3.9,278.802,4712.02001953125,0.08
2021-12-13,0.11,1.21,1.42,24777.038,3.9,278.802,4668.97021484375,0.08
2021-12-14,0.13,1.23,1.44,24777.038,3.9,278.802,4634.08984375,0.08
2021-12-15,0.13,1.26,1.47,24777.038,3.9,278.802,4709.85009765625,0.08
2021-12-16,0.13,1.19,1.44,24777.038,3.9,278.802,4668.669921875,0.08
2021-12-17,0.13,1.18,1.41,24777.038,3.9,278.802,4620.64013671875,0.08
2021-12-20,0.16,1.17,1.43,24777.038,3.9,278.802,4568.02001953125,0.08
2021-12-21,0.16,1.24,1.48,24777.038,3.9,278.802,4649.22998046875,0.08
2021-12-22,0.16,1.23,1.46,24777.038,3.9,278.802,4696.56005859375,0.08
2021-12-23,0.18,1.25,1.5,24777.038,3.9,278.802,4725.7900390625,0.08
2021-12-27,0.21,1.26,1.48,24777.038,3.9,278.802,4791.18994140625,0.08
2021-12-28,0.2,1.27,1.49,24777.038,3.9,278.802,4786.35009765625,0.08
2021-12-29,0.19,1.29,1.55,24777.038,3.9,278.802,4793.06005859375,0.08
2021-12-30,0.19,1.27,1.52,24777.038,3.9,278.802,4778.72998046875,0.08
2021-12-31,0.19,1.26,1.52,24777.038,3.9,278.802,4766.18017578125,0.07
2022-01-03,0.22,1.37,1.63,25215.491,4,281.148,4796.56005859375,0.08
2022-01-04,0.22,1.37,1.66,25215.491,4,281.148,4793.5400390625,0.08
2022-01-05,0.22,1.43,1.71,25215.491,4,281.148,4700.580078125,0.08
2022-01-06,0.23,1.47,1.73,25215.491,4,281.148,4696.0498046875,0.08
2022-01-07,0.24,1.5,1.76,25215.491,4,281.148,4677.02978515625,0.08
2022-01-10,0.28,1.53,1.78,25215.491,4,281.148,4670.2900390625,0.08
2022-01-11,0.28,1.51,1.75,25215.491,4,281.148,4713.06982421875,0.08
2022-01-12,0.27,1.5,1.74,25215.491,4,281.148,4726.35009765625,0.08
2022-01-13,0.28,1.47,1.7,25215.491,4,281.148,4659.02978515625,0.08
2022-01-14,0.3,1.55,1.78,25215.491,4,281.148,4662.85009765625,0.08
2022-01-18,0.37,1.65,1.87,25215.491,4,281.148,4577.10986328125,0.08
2022-01-19,0.36,1.62,1.83,25215.491,4,281.148,4532.759765625,0.08
2022-01-20,0.36,1.62,1.83,25215.491,4,281.148,4482.72998046875,0.08
2022-01-21,0.35,1.54,1.75,25215.491,4,281.148,4397.93994140625,0.08
2022-01-24,0.39,1.53,1.75,25215.491,4,281.148,4410.1298828125,0.08
2022-01-25,0.39,1.56,1.78,25215.491,4,281.148,4356.4501953125,0.08
2022-01-26,0.4,1.66,1.85,25215.491,4,281.148,4349.93017578125,0.08
2022-01-27,0.43,1.66,1.81,25215.491,4,281.148,4326.509765625,0.08
2022-01-28,0.43,1.61,1.78,25215.491,4,281.148,4431.85009765625,0.08
2022-01-31,0.49,1.62,1.79,25215.491,4,281.148,4515.5498046875,0.08
2022-02-01,0.48,1.63,1.81,25215.491,3.8,283.716,4546.5400390625,0.08
2022-02-02,0.45,1.6,1.78,25215.491,3.8,283.716,4589.3798828125,0.08
2022-02-03,0.48,1.66,1.82,25215.491,3.8,283.716,4477.43994140625,0.08
